公稱(mm^2)-芯數(C),2,3,4,5,6,7,8,10,12,16,20,24,30,36,導體外徑
0.5,7.8,8.2,8.9,9.7,10.4,10.4,11.2,12.9,13.3,14.7,16.2,18,19.1,20.5,0.9
0.75,8.2,8.7,9.4,10.2,11,11,11.9,13.7,14.2,15.6,17.3,19.2,20.4,22.1,1.1
1.25,8.8,9.3,10.1,10.9,11.8,11.8,12.7,14.7,15.2,16.8,18.7,20.7,22.2,23.9,1.35
2,9.7,10.3,11.2,12.1,13.1,13.1,14.2,16.5,17.1,19,21.1,23.6,25.3,27.4,1.8
