公稱                          , INCH,管內徑
E19,"1/2""",16.7
E25,"3/4""",23
E31,"1""",29
E39,"1 1/4""",35.3
E51,"1 1/2""",48
E63,"2""",60.3
E75,"2 1/2""",72.6
