公稱                          , INCH,管內徑
G16,"1/2""",16.4
G22,"3/4""",21.9
G28,"1""",28.3
G36,"1 1/4""",36.9
G42,"1 1/2""",42.8
G54,2,54
G70,"2 1/2""",69.6
G82,"3""",82.3
G104,"4""",106.4
