公稱                          , INCH,管內徑
10,"3/8""",13.3
15,"1/2""",16.7
20,"3/4""",22.2
25,"1""",28
32,"1 1/4""",36.7
40,"1 1/2""",42.6
50,2,53.5
65,"2 1/2""",69.3
80,"3""",81.1
90,"3 1/2""",93.6
100,"4""",106.3
125,"5""",129.8
150,"6""",155.2
200,"8""",203.3
